score,comment,timestamp,taste,speed,service
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.0,0.6
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.4,0.0,0.0
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,0.95,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,-0.3,-0.5
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.5,-0.3,-0.4
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.4,-0.6,-0.3
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,-0.3,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.8,0.0,0.0
5,包装完好无损，配送快，餐品实惠,2025/10/11 00:00:00,0.5,0.9,0.7
5,到店吃效果更好，棒,2025/10/12 00:00:00,0.8,0.0,0.0
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.0,0.6
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.3,0.0,0.0
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,0.95,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,0.0,-0.7
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.3,-0.3,-0.3
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.3,-0.7,-0.2
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,-0.3,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.9,0.0,0.0
5,包装完好无损，配送快，餐品实惠,2025/10/11 00:00:00,0.5,0.9,0.7
5,到店吃效果更好，棒,2025/10/12 00:00:00,0.8,0.0,0.0
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.0,0.6
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.4,0.0,0.0
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,1.0,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,-0.3,-0.5
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.3,-0.3,-0.3
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.3,-0.7,-0.2
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,-0.3,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.8,0.0,0.0
5,包装完好无损，配送快，餐品实惠,2025/10/11 00:00:00,0.5,0.9,0.7
5,到店吃效果更好，棒,2025/10/12 00:00:00,0.8,0.0,0.0
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.0,0.6
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.4,0.0,-0.3
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,1.0,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,0.0,-0.7
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.5,-0.3,-0.4
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.3,-0.7,-0.2
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,0.0,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.8,0.0,0.0
5,包装完好无损，配送快，餐品实惠,2025/10/11 00:00:00,0.5,0.9,0.7
5,到店吃效果更好，棒,2025/10/12 00:00:00,0.8,0.0,0.0
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.5,0.7
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.4,0.0,0.0
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,1.0,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,-0.3,-0.5
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.5,-0.3,-0.4
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.3,-0.7,-0.2
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,-0.3,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.8,0.0,0.0
5,包装完好无损，配送快，餐品实惠,2025/10/11 00:00:00,0.5,0.9,0.7
5,到店吃效果更好，棒,2025/10/12 00:00:00,0.8,0.0,0.0
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.0,0.6
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.3,0.0,0.0
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,0.95,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,-0.3,-0.5
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.5,-0.3,-0.4
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.3,-0.7,-0.2
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,-0.3,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.8,0.0,0.0
5,包装完好无损，配送快，餐品实惠,2025/10/11 00:00:00,0.5,0.9,0.7
5,到店吃效果更好，棒,2025/10/12 00:00:00,0.8,0.0,0.0
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.0,0.6
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.3,0.0,-0.2
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,1.0,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,0.0,-0.5
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.5,-0.3,-0.4
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.3,-0.7,-0.2
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,0.0,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.8,0.0,0.0
5,包装完好无损，配送快，餐品实惠,2025/10/11 00:00:00,0.5,0.9,0.7
5,到店吃效果更好，棒,2025/10/12 00:00:00,0.8,0.0,0.0
5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,2025/10/11 00:00:00,0.8,0.0,0.6
5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,2025/06/08 00:00:00,0.9,0.8,0.0
5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,2025/07/29 00:00:00,0.9,0.5,0.5
4,谁家披萨是这么做的。。。,2025/05/30 00:00:00,-0.6,0.0,0.0
4,披萨馅料都滑到一边去了。,2025/07/16 00:00:00,-0.3,0.0,0.0
5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,2025/10/11 00:00:00,1.0,0.0,0.0
2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,2025/10/27 00:00:00,-0.8,0.9,0.0
2,打开盖子，这个样子，全团成一坨，怎么吃………,2025/10/25 00:00:00,-0.6,-0.3,-0.5
2,#【随心配】超值面饭3件套# ,2025/10/06 00:00:00,0.0,0.0,0.0
3,都很一般，不会再点,2025/08/14 00:00:00,-0.5,-0.3,-0.4
1,经常吃乐?凯撒的榴莲披萨，这一次点的刚送到没5分钟左右打开，看到底下已经很多油迹了，这就证明已经放了很久，或者说做好了放了一段时间又重新拿来加热的，口感非常差，下面的面粉跟肉粘在一起，根本没有那种饱和感 以后很难再点乐凯撒了#【经典回归】创始金枕榴莲披萨9英寸#,2025/07/14 00:00:00,-0.8,-0.6,-0.5
1,都冷掉了#经典肉酱意面# ,2025/05/07 00:00:00,-0.3,-0.7,-0.2
3,不愉快的一次订餐，餐是不够,2025/04/16 00:00:00,-0.6,0.0,-0.5
5,很好吃啊，从之前上学吃到了上班！他家的意面我一直超爱，推荐哈哈哈哈哈,2025/04/12 00:00:00,0.9,0.0,0.0
5,这速度就是快，在我最饿的时候飞马赶到，风雨无阻，这烤鸡披萨让我无法自拔，太喜欢了??,2025/10/12 00:00:00,0.9,0.95,0.85
5,经典肉酱意面特别好吃??,2025/05/19 00:00:00,0.9,0.0,0.0
5,"这次点乐凯萨的外卖，真被他家饮料圈粉了！
我点了百香果饮料。百香果入口醇厚丝滑，能喝出是新鲜百香果现做，浓郁果香，甜度恰到好处，一点不腻。听说每杯用一颗百香果，用料超实在。百香果饮料一喝就想起童年，酸酸甜甜，橙香浓郁，满满维C，开胃又解腻。
包装也很严实，送来一点没洒，杯子还挺好看。配送速度快，到手还是冰爽的，完美契合我宅家吃披萨的快乐时光！下次还要试试他家别的饮品！",2025/04/09 00:00:00,0.95,0.85,0.8
5,#点右上角?收藏享 草原羊肉串1串0.99元#攒，好吃爱吃会继续吃,2025/04/07 00:00:00,0.8,0.0,0.0
5,"great food, quick delivery",2024/12/27 00:00:00,0.8,0.9,0.7
1,下边这个59一份，这是只剩半份的大小，真的很小，吃不饱,2024/11/30 00:00:00,0.0,0.0,-0.6
5,味道很棒！服务也挺好，小朋友爱吃！,2024/11/30 00:00:00,0.9,0.0,0.7
